"","Site","Knoll","Year","Date","year_month","survey_id","Observer","Species","Species_2015","Family","Abundance","Length","Confidence","Status","a","b"
"1","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Hipposcarus harid","Scaridae","Scaridae",1,55,0,"T",0.0248134375,2.93332291666667
"2","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Parapercis hexophtalma","Pinguipedidae","Pinguipedidae",1,15,0,"C",0.00759,3.14
"3","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Parapercis hexophtalma","Pinguipedidae","Pinguipedidae",1,18,0,"C",0.00759,3.14
"4","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Parapercis hexophtalma","Pinguipedidae","Pinguipedidae",1,20,0,"C",0.00759,3.14
"5","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chaetodon melannotus","Chaetodon melannotus","Chaetodontidae",1,18,0,"T",0.038,2.921
"6","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",4,4,0,"T",0.0379275,2.918875
"7","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",2,12,0,"T",0.0379275,2.918875
"8","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",1,16,0,"T",0.0379275,2.918875
"9","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",2,18,0,"T",0.0379275,2.918875
"10","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",1,14,0,"T",0.0379275,2.918875
"11","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudanthias squamipinnis","Pseudanthias spp.","Serranidae",200,8,0,"C",0.0175096041666667,3.04466479166667
"12","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudanthias squamipinnis","Pseudanthias spp.","Serranidae",200,7,0,"C",0.0175096041666667,3.04466479166667
