"","Site","Knoll","year_month","Species","Abundance"
"1","Caves","1","2018 b","Abudefduf vaigiensis",14
"2","Caves","1","2018 b","Acanthurus nigrofuscus",3
"3","Caves","1","2018 b","Amblyglyphidodon indicus",2
"4","Caves","1","2018 b","Centropyge multispinis",1
"5","Caves","1","2018 b","Cheilodipterus novemstriatus",1
"6","Caves","1","2018 b","Cheilodipterus quinquelineatus",2
"7","Caves","1","2018 b","Chlorurus sordidus",2
"8","Caves","1","2018 b","Cirripectes castaneus",2
"9","Caves","1","2018 b","Ctenochaetus striatus",2
"10","Caves","1","2018 b","Ecsenius frontalis",2
"11","Caves","1","2018 b","Ecsenius gravieri",3
"12","Caves","1","2018 b","Ecsenius nalolo",3
"13","Caves","1","2018 b","Fistularia commersonii",1
"14","Caves","1","2018 b","Gnatholepis anjerensis",3
"15","Caves","1","2018 b","Istigobius decoratus",2
"16","Caves","1","2018 b","Ostorhinchus cyanosoma",28
"17","Caves","1","2018 b","Ostorhinchus nigrofasciatus",3
"18","Caves","1","2018 b","Ostracion cyanurus",1
"19","Caves","1","2018 b","Parapercis hexophtalma",2
"20","Caves","1","2018 b","Parupeneus forsskali",2
"21","Caves","1","2018 b","Plagiotremus townsendi",1
"22","Caves","1","2018 b","Pomacentrus sulfureus",3
"23","Caves","1","2018 b","Pomacentrus trichrourus",7
"24","Caves","1","2018 b","Pseudanthias squamipinnis",14
"25","Caves","1","2018 b","Pseudochromis olivaceus",2
"26","Caves","1","2018 b","Pycnochromis dimidiatus",2
"27","Caves","1","2018 b","Rhinecanthus assasi",1
"28","Caves","1","2018 b","Sebastapistes cyanostigma",1
"29","Caves","1","2018 b","Stethojulis albovittata",1
"30","Caves","1","2018 b","Sufflamen albicaudatum",1
"31","Caves","1","2018 b","Thalassoma rueppellii",8
"32","Caves","1","2020 b","Abudefduf vaigiensis",5
"33","Caves","1","2020 b","Amblyglyphidodon indicus",1
"34","Caves","1","2020 b","Cheilodipterus novemstriatus",15
"35","Caves","1","2020 b","Ctenochaetus striatus",3
"36","Caves","1","2020 b","Epinephelus fasciatus",1
"37","Caves","1","2020 b","Larabicus quadrilineatus",2
"38","Caves","1","2020 b","Pomacentrus trichrourus",2
"39","Caves","1","2020 b","Pseudanthias squamipinnis",1
"40","Caves","1","2020 b","Pseudochromis olivaceus",1
"41","Caves","1","2020 b","Synodus variegatus",1
"42","Caves","1","2020 b","Thalassoma rueppellii",3
"43","Caves","1","2020 b","Zebrasoma xanthurum",1
"44","Caves","1","2021 a","Abudefduf vaigiensis",3
"45","Caves","1","2021 a","Acanthurus nigrofuscus",1
"46","Caves","1","2021 a","Alloblennius pictus",1
"47","Caves","1","2021 a","Chaetodon fasciatus",1
"48","Caves","1","2021 a","Chaetodon paucifasciatus",2
"49","Caves","1","2021 a","Ecsenius nalolo",1
"50","Caves","1","2021 a","Epinephelus fasciatus",1
"51","Caves","1","2021 a","Eviota guttata",13
"52","Caves","1","2021 a","Neopomacentrus miryae",14
"53","Caves","1","2021 a","Parupeneus macronemus",1
"54","Caves","1","2021 a","Pomacentrus trichrourus",14
"55","Caves","1","2021 a","Pomacentrus trilineatus",1
"56","Caves","1","2021 a","Pseudanthias squamipinnis",15
"57","Caves","1","2021 a","Pseudochromis olivaceus",1
"58","Caves","1","2021 a","Pycnochromis dimidiatus",3
"59","Caves","1","2021 a","Stethojulis albovittata",1
"60","Caves","1","2021 a","Thalassoma rueppellii",15
"61","Caves","1","2022 b","Acanthurus nigrofuscus",1
"62","Caves","1","2022 b","Bodianus anthioides",1
"63","Caves","1","2022 b","Canthigaster cyanospilota",1
"64","Caves","1","2022 b","Cheilinus abudjubbe",1
"65","Caves","1","2022 b","Cheilinus lunulatus",1
"66","Caves","1","2022 b","Cheilodipterus lachneri",1
"67","Caves","1","2022 b","Ctenochaetus striatus",2
"68","Caves","1","2022 b","Epinephelus fasciatus",1
"69","Caves","1","2022 b","Ostorhinchus nigrofasciatus",1
"70","Caves","1","2022 b","Parupeneus forsskali",1
"71","Caves","1","2022 b","Parupeneus macronemus",1
"72","Caves","1","2022 b","Pomacentrus sulfureus",1
"73","Caves","1","2022 b","Pomacentrus trichrourus",5
"74","Caves","1","2022 b","Pseudochromis fridmani",1
"75","Caves","1","2022 b","Sargocentron caudimaculatum",1
"76","Caves","1","2022 b","Siganus luridus",2
"77","Caves","1","2022 b","Siganus rivulatus",1
"78","Caves","1","2022 b","Thalassoma lunare",5
"79","Caves","1","2022 b","Thalassoma rueppellii",2
"80","Caves","1","2022 b","Zebrasoma xanthurum",3
"81","Caves","10","2018 b","Abudefduf vaigiensis",5
"82","Caves","10","2018 b","Acanthurus nigrofuscus",4
