"","Site","year_month","Species","Abundance"
"1","Caves","2018 b","Abudefduf vaigiensis",46
"2","Caves","2018 b","Acanthurus nigrofuscus",32
"3","Caves","2018 b","Aethaloperca rogaa",1
"4","Caves","2018 b","Amblyglyphidodon flavilatus",3
"5","Caves","2018 b","Amblyglyphidodon indicus",19
"6","Caves","2018 b","Amphiprion bicinctus",10
"7","Caves","2018 b","Arothron hispidus",1
"8","Caves","2018 b","Atrosalarias fuscus",7
"9","Caves","2018 b","Bodianus anthioides",1
"10","Caves","2018 b","Calotomus viridescens",6
"11","Caves","2018 b","Cantherhines pardalis",3
"12","Caves","2018 b","Canthigaster cyanospilota",3
"13","Caves","2018 b","Centropyge multispinis",8
"14","Caves","2018 b","Cephalopholis argus",2
"15","Caves","2018 b","Cephalopholis hemistiktos",10
"16","Caves","2018 b","Cephalopholis miniata",1
"17","Caves","2018 b","Chaetodon austriacus",2
"18","Caves","2018 b","Chaetodon fasciatus",3
"19","Caves","2018 b","Chaetodon paucifasciatus",11
"20","Caves","2018 b","Chaetodon trifascialis",2
"21","Caves","2018 b","Cheilinus abudjubbe",1
"22","Caves","2018 b","Cheilinus lunulatus",6
"23","Caves","2018 b","Cheilodipterus novemstriatus",62
"24","Caves","2018 b","Cheilodipterus quinquelineatus",53
"25","Caves","2018 b","Chlorurus gibbus",2
"26","Caves","2018 b","Chlorurus sordidus",24
"27","Caves","2018 b","Chromis flavaxilla",17
"28","Caves","2018 b","Chromis viridis",508
"29","Caves","2018 b","Cirripectes castaneus",10
"30","Caves","2018 b","Coris aygula",1
"31","Caves","2018 b","Ctenochaetus striatus",12
"32","Caves","2018 b","Cyclichthys spilostylus",2
"33","Caves","2018 b","Dascyllus marginatus",93
"34","Caves","2018 b","Dascyllus trimaculatus",14
"35","Caves","2018 b","Ecsenius aroni",9
"36","Caves","2018 b","Ecsenius frontalis",44
"37","Caves","2018 b","Ecsenius gravieri",7
"38","Caves","2018 b","Ecsenius nalolo",59
"39","Caves","2018 b","Epinephelus fasciatus",14
"40","Caves","2018 b","Epinephelus tauvina",2
"41","Caves","2018 b","Eviota guttata",7
"42","Caves","2018 b","Eviota prasina",1
"43","Caves","2018 b","Eviota punyit",8
"44","Caves","2018 b","Fistularia commersonii",1
"45","Caves","2018 b","Gnatholepis anjerensis",15
"46","Caves","2018 b","Gobiodon citrinus",1
"47","Caves","2018 b","Gobiodon reticulatus",13
"48","Caves","2018 b","Gomphosus caeruleus",3
"49","Caves","2018 b","Grammistes sexlineatus",1
"50","Caves","2018 b","Gymnothorax griseus",1
"51","Caves","2018 b","Halichoeres hortulanus",5
"52","Caves","2018 b","Heniochus intermedius",4
"53","Caves","2018 b","Hologymnosus annulatus",1
"54","Caves","2018 b","Istigobius decoratus",50
"55","Caves","2018 b","Labroides dimidiatus",3
"56","Caves","2018 b","Larabicus quadrilineatus",4
"57","Caves","2018 b","Lethrinus borbonicus",1
"58","Caves","2018 b","Lethrinus mahsena",1
"59","Caves","2018 b","Lotilia graciliosa",1
"60","Caves","2018 b","Meiacanthus nigrolineatus",5
"61","Caves","2018 b","Myripristis murdjan",13
"62","Caves","2018 b","Neoglyphidodon melas",3
"63","Caves","2018 b","Neopomacentrus miryae",74
"64","Caves","2018 b","Odonus niger",1
"65","Caves","2018 b","Ostorhinchus cyanosoma",280
"66","Caves","2018 b","Ostorhinchus nigrofasciatus",41
"67","Caves","2018 b","Ostracion cyanurus",2
"68","Caves","2018 b","Parapercis hexophtalma",6
"69","Caves","2018 b","Parupeneus forsskali",14
"70","Caves","2018 b","Parupeneus macronemus",5
"71","Caves","2018 b","Plagiotremus townsendi",4
"72","Caves","2018 b","Pomacentrus sulfureus",16
"73","Caves","2018 b","Pomacentrus trichrourus",192
"74","Caves","2018 b","Pomacentrus trilineatus",7
"75","Caves","2018 b","Pristiapogon exostigma",0
"76","Caves","2018 b","Pseudanthias squamipinnis",295
"77","Caves","2018 b","Pseudocheilinus hexataenia",21
"78","Caves","2018 b","Pseudochromis fridmani",29
"79","Caves","2018 b","Pseudochromis olivaceus",57
"80","Caves","2018 b","Pseudochromis springeri",3
"81","Caves","2018 b","Pycnochromis dimidiatus",68
"82","Caves","2018 b","Rhinecanthus assasi",3
"83","Caves","2018 b","Sargocentron caudimaculatum",3
"84","Caves","2018 b","Sargocentron diadema",1
"85","Caves","2018 b","Scarus ferrugineus",6
"86","Caves","2018 b","Scarus frenatus",1
"87","Caves","2018 b","Scarus fuscopurpureus",5
"88","Caves","2018 b","Scarus niger",2
