"","year_month","Species","Abundance"
"1","2018 b","Abudefduf sexfasciatus",8
"2","2018 b","Abudefduf vaigiensis",121
"3","2018 b","Acanthurus nigrofuscus",127
"4","2018 b","Aethaloperca rogaa",6
"5","2018 b","Amblyeleotris steinitzi",1
"6","2018 b","Amblyeleotris sungami",1
"7","2018 b","Amblyglyphidodon flavilatus",31
"8","2018 b","Amblyglyphidodon indicus",93
"9","2018 b","Amblygobius albimaculatus",3
"10","2018 b","Amphiprion bicinctus",36
"11","2018 b","Anampses twistii",3
"12","2018 b","Arothron diadematus",2
"13","2018 b","Arothron hispidus",1
"14","2018 b","Aspidontus tractus",1
"15","2018 b","Atherinomorus lacunosus",100
"16","2018 b","Atrosalarias fuscus",18
"17","2018 b","Balistapus undulatus",5
"18","2018 b","Bodianus anthioides",9
"19","2018 b","Bodianus diana",2
"20","2018 b","Caesio varilineata",3
"21","2018 b","Calotomus viridescens",12
"22","2018 b","Cantherhines pardalis",6
"23","2018 b","Canthigaster cyanospilota",3
"24","2018 b","Canthigaster margaritata",1
"25","2018 b","Canthigaster pygmaea",6
"26","2018 b","Centropyge multispinis",46
"27","2018 b","Cephalopholis argus",5
"28","2018 b","Cephalopholis hemistiktos",30
"29","2018 b","Cephalopholis miniata",56
"30","2018 b","Cetoscarus bicolor",1
"31","2018 b","Chaetodon auriga",8
"32","2018 b","Chaetodon austriacus",15
"33","2018 b","Chaetodon fasciatus",10
"34","2018 b","Chaetodon melannotus",6
"35","2018 b","Chaetodon paucifasciatus",104
"36","2018 b","Chaetodon trifascialis",7
"37","2018 b","Cheilinus abudjubbe",3
"38","2018 b","Cheilinus lunulatus",12
"39","2018 b","Cheilio inermis",1
"40","2018 b","Cheilodipterus lachneri",11
"41","2018 b","Cheilodipterus macrodon",4
"42","2018 b","Cheilodipterus novemstriatus",672
"43","2018 b","Cheilodipterus quinquelineatus",336
"44","2018 b","Chlorurus gibbus",6
"45","2018 b","Chlorurus sordidus",39
"46","2018 b","Chromis flavaxilla",29
"47","2018 b","Chromis ternatensis",30
"48","2018 b","Chromis viridis",5329
"49","2018 b","Chromis weberi",13
"50","2018 b","Chrysiptera unimaculata",2
"51","2018 b","Cirrhitichthys oxycephalus",3
"52","2018 b","Cirripectes castaneus",39
"53","2018 b","Coris aygula",3
"54","2018 b","Coris caudimacula",10
"55","2018 b","Coris variegata",2
"56","2018 b","Corythoichthys flavofasciatus",28
"57","2018 b","Corythoichthys schultzi",24
"58","2018 b","Crenimugil crenilabis",18
"59","2018 b","Cryptocentrus caeruleopunctatus",2
"60","2018 b","Ctenochaetus striatus",46
"61","2018 b","Ctenogobiops maculosus",1
"62","2018 b","Cyclichthys spilostylus",12
"63","2018 b","Dascyllus abudafur",8
"64","2018 b","Dascyllus marginatus",321
"65","2018 b","Dascyllus trimaculatus",80
"66","2018 b","Diplodus noct",1
"67","2018 b","Ecsenius aroni",56
"68","2018 b","Ecsenius frontalis",114
"69","2018 b","Ecsenius gravieri",46
"70","2018 b","Ecsenius nalolo",90
"71","2018 b","Epinephelus fasciatus",50
"72","2018 b","Epinephelus tauvina",4
"73","2018 b","Eviota guttata",28
"74","2018 b","Eviota prasina",1
"75","2018 b","Eviota punyit",28
"76","2018 b","Exallias brevis",7
"77","2018 b","Fistularia commersonii",2
"78","2018 b","Fusigobius neophytus",6
"79","2018 b","Gerres oyena",18
"80","2018 b","Gnatholepis anjerensis",38
"81","2018 b","Gobiidae spp.",3
"82","2018 b","Gobiodon citrinus",39
"83","2018 b","Gobiodon reticulatus",15
"84","2018 b","Gobiodon rivulatus",4
"85","2018 b","Gomphosus caeruleus",9
"86","2018 b","Grammistes sexlineatus",7
"87","2018 b","Gymnothorax griseus",2
"88","2018 b","Gymnothorax nudivomer",1
"89","2018 b","Gymnothorax undulatus",1
"90","2018 b","Halichoeres hortulanus",6
"91","2018 b","Haliophis guttatus",2
"92","2018 b","Hemiramphus far",10
"93","2018 b","Heniochus diphreutes",1
"94","2018 b","Heniochus intermedius",12
"95","2018 b","Hipposcarus harid",4
"96","2018 b","Hologymnosus annulatus",2
"97","2018 b","Istigobius decoratus",124
"98","2018 b","Labroides dimidiatus",27
"99","2018 b","Larabicus quadrilineatus",13
"100","2018 b","Lethrinus borbonicus",3
"101","2018 b","Lethrinus mahsena",3
"102","2018 b","Lethrinus nebulosus",1
"103","2018 b","Lethrinus obsoletus",1
"104","2018 b","Lotilia graciliosa",2
"105","2018 b","Meiacanthus nigrolineatus",76
"106","2018 b","Monotaxis grandoculis",1
"107","2018 b","Mugilidae spp.",20
"108","2018 b","Mulloidichthys flavolineatus",9
"109","2018 b","Myrichthys maculosus",1
"110","2018 b","Myripristis murdjan",31
"111","2018 b","Nectamia annularis",7
"112","2018 b","Nectamia zebrina",4
"113","2018 b","Neoglyphidodon melas",16
"114","2018 b","Neoniphon sammara",1
"115","2018 b","Neopomacentrus miryae",1101
"116","2018 b","Odonus niger",3
"117","2018 b","Ostorhinchus cyanosoma",3024
"118","2018 b","Ostorhinchus nigrofasciatus",185
"119","2018 b","Ostracion cubicum",19
"120","2018 b","Ostracion cyanurus",7
"121","2018 b","Oxymonacanthus halli",6
"122","2018 b","Paracheilinus octotaenia",10
"123","2018 b","Paracirrhites forsteri",1
"124","2018 b","Parapercis hexophtalma",13
"125","2018 b","Pardachirus marmoratus",1
"126","2018 b","Parupeneus forsskali",79
"127","2018 b","Parupeneus macronemus",21
"128","2018 b","Parupeneus rubescens",1
"129","2018 b","Plagiotremus tapeinosoma",11
"130","2018 b","Plagiotremus townsendi",7
"131","2018 b","Pomacanthus imperator",5
"132","2018 b","Pomacentrus sulfureus",70
"133","2018 b","Pomacentrus trichrourus",813
"134","2018 b","Pomacentrus trilineatus",11
"135","2018 b","Pristiapogon exostigma",4
"136","2018 b","Pseudanthias squamipinnis",3629
"137","2018 b","Pseudobalistes fuscus",2
"138","2018 b","Pseudocheilinus evanidus",5
"139","2018 b","Pseudocheilinus hexataenia",92
"140","2018 b","Pseudochromis flavivertex",1
"141","2018 b","Pseudochromis fridmani",107
"142","2018 b","Pseudochromis olivaceus",179
"143","2018 b","Pseudochromis springeri",36
"144","2018 b","Pterois miles",10
"145","2018 b","Pterois radiata",7
"146","2018 b","Pycnochromis dimidiatus",324
"147","2018 b","Rhinecanthus assasi",5
"148","2018 b","Salarias fasciatus",1
"149","2018 b","Sargocentron caudimaculatum",14
"150","2018 b","Sargocentron diadema",16
"151","2018 b","Saurida gracilis",3
"152","2018 b","Scarus ferrugineus",11
"153","2018 b","Scarus frenatus",1
"154","2018 b","Scarus fuscopurpureus",22
"155","2018 b","Scarus niger",11
"156","2018 b","Scarus psittacus",1
"157","2018 b","Scolopsis ghanam",17
"158","2018 b","Sebastapistes cyanostigma",3
"159","2018 b","Siganus argenteus",2
"160","2018 b","Siganus luridus",10
"161","2018 b","Siganus rivulatus",9
"162","2018 b","Siganus stellatus",1
"163","2018 b","Stegastes lacrymatus",9
"164","2018 b","Stethojulis albovittata",12
"165","2018 b","Stethojulis interrupta",1
"166","2018 b","Sufflamen albicaudatum",19
"167","2018 b","Synodus variegatus",12
"168","2018 b","Taeniura lymma",1
"169","2018 b","Thalassoma lunare",7
"170","2018 b","Thalassoma rueppellii",244
"171","2018 b","Trimma avidori",9
