Country,Project,Expedition,Location,Date,KnollID,First Observer.x,Second Observer.x,meta_to_deployment_id,First Observer.y,Second Observer.y,Knoll,Time Start,Time End,Notes,Observer,Species,Amount,Length,Confidence
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Gerres argyreus,1,16,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Thalassoma rueppellii,1,11,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Thalassoma rueppellii,1,7,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Thalassoma rueppellii,3,10,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Thalassoma rueppellii,1,8,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Pomacentrus trichrourus,1,9,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Pomacentrus trichrourus,4,8,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Pomacentrus trichrourus,2,9,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Heniochus intermedius,2,15,0
Israel,EcoCamp,EcoCamp September 2022,Princess,2022-09-12 00:00:00,1,Hezi Buba,Dana Kruger,Hezi Buba and Dana Kruger - 1,Hezi Buba,Dana Kruger,1,9:12,9:35,,first,Zebrasoma xanthurum,2,16,0
